"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 03, 1984","358.75","358.75","359.25","356.75","21.82K","0.28%"
"Apr 02, 1984","357.75","353.50","359.00","353.25","24.90K","1.27%"
"Mar 30, 1984","353.25","349.75","353.50","349.50","18.52K","0.78%"
"Mar 29, 1984","350.50","352.62","353.25","350.25","16.86K","-0.57%"
"Mar 28, 1984","352.50","353.75","354.00","352.00","17.16K","-0.63%"
"Mar 27, 1984","354.75","357.00","357.25","354.50","20.92K","-0.42%"
"Mar 26, 1984","356.25","354.75","356.75","354.25","20.22K","0.85%"
"Mar 23, 1984","353.25","354.50","354.75","351.75","17.03K","0.00%"
"Mar 22, 1984","353.25","351.25","354.75","350.75","23.14K","0.93%"
"Mar 21, 1984","350.00","349.75","352.00","346.50","-","0.00%"
"Mar 20, 1984","350.00","350.12","350.25","345.00","2.32K","-0.21%"
"Mar 19, 1984","350.75","348.88","351.00","348.25","2.05K","0.50%"
"Mar 16, 1984","349.00","350.88","351.00","348.50","3.40K","-0.07%"
"Mar 15, 1984","349.25","347.88","349.25","346.00","1.86K","0.72%"
"Mar 14, 1984","346.75","344.75","348.00","344.00","2.82K","0.80%"
"Mar 13, 1984","344.00","345.25","346.00","343.75","3.46K","0.36%"
"Mar 12, 1984","342.75","343.62","345.00","342.50","2.18K","-0.36%"
"Mar 09, 1984","344.00","341.62","345.50","341.50","3.30K","1.03%"
"Mar 08, 1984","340.50","339.88","340.75","338.25","5.17K","-0.07%"
"Mar 07, 1984","340.75","338.88","341.00","337.25","5.84K","0.22%"
"Mar 06, 1984","340.00","336.38","340.75","336.00","9.12K","1.04%"
"Mar 05, 1984","336.50","335.12","336.50","333.25","6.41K","0.67%"
"Mar 02, 1984","334.25","333.38","334.75","333.00","7.99K","0.91%"
"Mar 01, 1984","331.25","331.25","333.00","329.75","11.93K","0.15%"
"Feb 29, 1984","330.75","323.38","331.25","323.25","21.12K","2.32%"
"Feb 28, 1984","323.25","325.25","326.25","323.00","27.50K","-0.46%"
"Feb 27, 1984","324.75","323.88","324.75","323.00","16.78K","0.00%"
"Feb 24, 1984","324.75","324.88","326.00","323.50","13.74K","0.15%"
"Feb 23, 1984","324.25","324.12","326.25","322.75","15.57K","-0.15%"
"Feb 22, 1984","324.75","320.38","326.00","320.00","21.12K","1.96%"
"Feb 21, 1984","318.50","318.38","319.00","316.75","12.06K","-0.23%"
"Feb 17, 1984","319.25","317.88","320.75","316.75","15.07K","0.16%"
"Feb 16, 1984","318.75","319.50","319.75","318.00","11.94K","0.00%"
"Feb 15, 1984","318.75","317.62","319.50","317.25","12.38K","0.71%"
"Feb 14, 1984","316.50","319.38","320.25","316.00","24.46K","-1.17%"
"Feb 13, 1984","320.25","323.38","323.75","318.75","23.04K","-1.39%"
"Feb 10, 1984","324.75","327.12","327.25","324.50","16.18K","-0.76%"
"Feb 09, 1984","327.25","329.25","329.50","326.00","20.14K","-0.76%"
"Feb 08, 1984","329.75","329.62","330.50","328.75","12.67K","0.23%"
"Feb 07, 1984","329.00","328.75","330.50","328.25","13.70K","-0.15%"
"Feb 06, 1984","329.50","328.25","330.00","327.25","14.48K","-0.23%"
"Feb 03, 1984","330.25","329.50","330.50","329.00","12.40K","-0.30%"
"Feb 02, 1984","331.25","332.00","332.50","330.50","17.02K","0.53%"
"Feb 01, 1984","329.50","328.75","330.25","328.25","15.04K","0.08%"
"Jan 31, 1984","329.25","328.75","329.75","327.75","15.58K","0.23%"
"Jan 30, 1984","328.50","330.00","330.25","326.50","14.05K","-0.15%"
"Jan 27, 1984","329.00","331.50","332.00","328.00","18.64K","0.23%"
"Jan 26, 1984","328.25","331.12","331.50","326.75","25.90K","-1.35%"
